seed,seatOrder,botJ1,botJ2,winner,winnerFaction,reasonCategory,rounds,blocked,firstPlayerWon,dominationJ1,dominationJ2,unitsLeftJ1,unitsLeftJ2,producedJ1,producedJ2,spentJ1,spentJ2,unspentJ1,unspentJ2,passiveJ1,passiveJ2,decisiveUnit
greenwar-v0.2.6-0,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,2,3,6,6,26,15,10,10,21,10,0,0,roseau
greenwar-v0.2.6-1,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,2,3,8,8,27,11,10,10,22,6,0,0,nenuphar
greenwar-v0.2.6-2,1>2,random,random,1,Nourricières,tiebreak-unites,6,0,1,1,1,7,4,20,11,10,8,15,8,0,0,carotte
greenwar-v0.2.6-3,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,0,2,6,5,19,13,6,6,18,12,0,0,roseau
greenwar-v0.2.6-4,1>2,random,random,2,Hydrophytes,domination,5,0,0,1,4,6,6,21,14,10,10,16,9,0,0,roseau
greenwar-v0.2.6-5,1>2,random,random,2,Hydrophytes,domination,6,0,0,1,4,7,7,21,14,10,12,16,7,0,0,roseau
greenwar-v0.2.6-6,1>2,random,random,1,Nourricières,tiebreak-terrains,6,0,1,2,1,6,5,15,13,8,10,12,8,0,0,carotte
greenwar-v0.2.6-7,1>2,random,random,2,Hydrophytes,domination,6,0,0,0,4,7,7,22,13,10,10,17,8,0,0,roseau
greenwar-v0.2.6-8,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,2,3,7,7,22,12,10,8,17,9,0,0,roseau
greenwar-v0.2.6-9,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,0,2,5,5,19,16,8,12,16,9,0,0,algue
greenwar-v0.2.6-10,1>2,random,random,1,Nourricières,tiebreak-terrains,6,0,1,2,1,7,4,22,14,12,10,15,9,0,0,carotte
greenwar-v0.2.6-11,1>2,random,random,2,Hydrophytes,domination,6,0,0,1,5,5,5,13,12,6,10,12,7,0,0,roseau
greenwar-v0.2.6-12,1>2,random,random,1,Nourricières,tiebreak-terrains,6,0,1,3,1,6,5,16,13,8,8,13,10,0,0,carotte
greenwar-v0.2.6-13,1>2,random,random,2,Hydrophytes,domination,5,0,0,2,4,7,7,17,10,10,8,12,7,0,0,roseau
greenwar-v0.2.6-14,1>2,random,random,2,Hydrophytes,domination,5,0,0,0,4,5,5,17,12,8,8,14,9,0,0,roseau
greenwar-v0.2.6-15,1>2,random,random,1,Nourricières,tiebreak-terrains,6,0,1,3,2,8,7,20,12,10,10,15,7,0,0,haricot
greenwar-v0.2.6-16,1>2,random,random,1,Nourricières,tiebreak-unites,6,0,1,2,2,7,5,20,12,12,8,13,9,0,0,tomate
greenwar-v0.2.6-17,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,0,2,6,5,15,13,6,10,14,8,0,0,roseau
greenwar-v0.2.6-18,1>2,random,random,1,Nourricières,tiebreak-unites,6,0,1,2,2,7,5,17,11,8,6,14,10,0,0,haricot
greenwar-v0.2.6-19,1>2,random,random,1,Nourricières,tiebreak-unites,6,0,1,2,2,8,5,25,18,12,8,18,15,0,0,haricot
greenwar-v0.2.6-20,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,2,3,8,7,25,17,14,10,16,12,0,0,roseau
greenwar-v0.2.6-21,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,1,2,5,5,22,15,8,6,19,14,0,0,roseau
greenwar-v0.2.6-22,1>2,random,random,2,Hydrophytes,domination,5,0,0,2,4,6,6,17,8,6,6,16,7,0,0,roseau
greenwar-v0.2.6-23,1>2,random,random,2,Hydrophytes,tiebreak-terrains,6,0,0,0,3,5,6,17,13,6,8,16,10,0,0,roseau
